Produit,Flux,Date,Montant
"AUTRES FIBRES TEXTILES VEGETALES;FILS DE PAPIER, TISSUS DE FILS DE PAPIER",Exportations,2010-01-01,
FILAMENTS SYNTHETIQUES OU ARTIFICIELS,Exportations,2010-01-01,23455356.0
FIBRES SYNTHETIQUES OU ARTIFICIELLES DISCONTINUES,Exportations,2010-01-01,55068303.0
"OUATES,FEUTRES,NON TISSES;FILS SPECIAUX;FICELLES,CORDES,CORDAGES;CORDERIE",Exportations,2010-01-01,3373007.0
TAPIS ET AUTRES REVETEMENTS DE SOL EN MATIERES TEXTILES,Exportations,2010-01-01,
TISSUS SPECIAUX; DENTELLES; TAPISSERIES; PASSEMENTERIES; BRODERIES,Exportations,2010-01-01,
"TISSUS IMPREGNES, RECOUVERTS, STRATIFIES; ARTICLES TECHNIQUES EN TEXTILES",Exportations,2010-01-01,
ETOFFES DE BONNETERIE,Exportations,2010-01-01,
"VETEMENTS ET ACCESSOIRES DU VETEMENT, EN BONNETERIE",Exportations,2010-01-01,
"VETEMENTS ET ACCESSOIRES DU VETEMENT, AUTRES QU'EN BONNETERIE",Exportations,2010-01-01,438575.0
AUTRES ARTICLES TEXTILES CONFECTIONNES; ASSORTIMENTS; FRIPERIE ET CHIFFONS,Exportations,2010-01-01,133678253.0
"CHAUSSURES, GUETRES ET ARTICLES ANALOGUES; PARTIES DE CES OBJETS",Exportations,2010-01-01,53953414.0
COIFFURES ET PARTIES DE COIFFURES,Exportations,2010-01-01,38219.0
"PARAPLUIES, PARASOLS, CANNES, FOUETS, CRAVACHES ET LEURS PARTIES",Exportations,2010-01-01,
PLUMES APPRETEES; FLEURS ARTIFICIELLES; OUVRAGES EN CHEVEUX,Exportations,2010-01-01,122600000.0
"OUVRAGES EN PIERRES, PLATRE, CIMENT, AMIANTE, MICA OU MATIERES ANALOGUES",Exportations,2010-01-01,71407554.0
PRODUITS CERAMIQUES,Exportations,2010-01-01,33630607.0
VERRE ET OUVRAGES EN VERRE,Exportations,2010-01-01,59601362.0
"PERLES, PIERRES GEMMES, METAUX PRECIEUX; BIJOUTERIE FANTAISIE; MONNAIES",Exportations,2010-01-01,8190699971.0
"FONTE, FER ET ACIER",Exportations,2010-01-01,2780766689.0
"OUVRAGES EN FONTE, FER OU ACIER",Exportations,2010-01-01,260715527.0
CUIVRE ET OUVRAGES EN CUIVRE,Exportations,2010-01-01,258889983.0
NICKEL ET OUVRAGES EN NICKEL,Exportations,2010-01-01,
ALUMINIUM ET OUVRAGES EN ALUMINIUM,Exportations,2010-01-01,180804307.0
PLOMB ET OUVRAGES EN PLOMB,Exportations,2010-01-01,
ZINC ET OUVRAGES EN ZINC,Exportations,2010-01-01,9534233.0
ETAIN ET OUVRAGES EN ETAIN,Exportations,2010-01-01,
AUTRES METAUX COMMUNS; CERMETS; OUVRAGES EN CES MATIERES,Exportations,2010-01-01,
"OUTILS, OUTILLAGE, COUTELLERIE, COUVERTS EN METAUX COMMUNS ET PARTIES",Exportations,2010-01-01,
OUVRAGES DIVERS EN METAUX COMMUNS,Exportations,2010-01-01,1894100.0
"REACTEURS NUCLEAIRES; CHAUDIERES, MACHINES, APPAREILS, ENGINS MECANIQUES",Exportations,2010-01-01,371796280.0
MACHINES ELECTRIQUES; APPAREILS D'EMISSION-RECEPTION RADIO/TV,Exportations,2010-01-01,640083526.0
VEHICULES ET MATERIEL POUR VOIES FERREES; APPAREILS DE SIGNALISATION,Exportations,2010-01-01,4637943.0
"VOITURES AUTOMOBILES ET AUTRES VEHICULES TERRESTRES; PARTIES, ACCESSOIRES",Exportations,2010-01-01,748422006.0
NAVIGATION AERIENNE OU SPATIALE,Exportations,2010-01-01,466576.0
NAVIGATION MARITIME OU FLUVIALE,Exportations,2010-01-01,19452150.0
"APPAREILS D'OPTIQUE, DE PRECISION, MEDICO-CHIRURGICAUX;PARTIES,ACCESSOIRES",Exportations,2010-01-01,15172332.0
HORLOGERIE,Exportations,2010-01-01,
INSTRUMENTS DE MUSIQUE; PARTIES ET ACCESSOIRES DE CES INSTRUMENTS,Exportations,2010-01-01,
"ARMES, MUNITIONS ET LEURS PARTIES ET ACCESSOIRES",Exportations,2010-01-01,
MEUBLES Y.C. MEDICAUX; APPAREILS D'ECLAIRAGE; CONSTRUCTIONS PREFABRIQUEES,Exportations,2010-01-01,53009651.0
"JOUETS, JEUX, ARTICLES DE DIVERTISSEMENTS OU SPORTS; PARTIES, ACCESSOIRES",Exportations,2010-01-01,5198394.0
OUVRAGES DIVERS,Exportations,2010-01-01,34911313.0
"OBJETS D'ART, DE COLLECTION OU D'ANTIQUITE",Exportations,2010-01-01,7488950.0
ANIMAUX VIVANTS,Importations,2010-01-01,10046362.0
VIANDES ET ABATS COMESTIBLES,Importations,2010-01-01,690444935.0
"POISSONS ET CRUSTACES, MOLLUSQUES ET AUTRES INVERTEBRES AQUATIQUES",Importations,2010-01-01,13474590.0
LAIT; OEUFS D'OISEAUX; MIEL; PRODUITS COMESTIBLES D'ANIMAUX N.D.C.A.,Importations,2010-01-01,5851376654.0
"AUTRES PRODUITS D'ORIGINE ANIMALE, NON DENOMMES NI COMPRIS AILLEURS",Importations,2010-01-01,
PLANTES VIVANTES ET PRODUITS DE LA FLORICULTURE,Importations,2010-01-01,11981353.0
"LEGUMES, PLANTES, RACINES ET TUBERCULES ALIMENTAIRES",Importations,2010-01-01,1904948654.0
FRUITS COMESTIBLES; ECORCES D'AGRUMES OU DE MELONS,Importations,2010-01-01,833328202.0
"CAFE, THE, MATE ET EPICES",Importations,2010-01-01,439223048.0
CEREALES,Importations,2010-01-01,9342684400.0
PRODUITS DE LA MINOTERIE;MALT;AMIDONS ET FECULES;INULINE;GLUTEN DE FROMENT,Importations,2010-01-01,457600835.0
"OLEAGINEUX; GRAINES, SEMENCES; PLANTES INDUSTRIELLES, MEDICINALES; PAILLES",Importations,2010-01-01,513661261.0
"GOMMES, RESINES ET AUTRES SUCS ET EXTRAITS VEGETAUX",Importations,2010-01-01,249013.0
MATIERES A TRESSER ET AUTRES PRODUITS D'ORIGINE VEGETALE N.D.C.A.,Importations,2010-01-01,3873387.0
"GRAISSES, HUILES, CIRES (ANIMALES ET VEGETALES); GRAISSES ALIMENTAIRES",Importations,2010-01-01,6242286372.0
"PREPARATIONS DE VIANDES, POISSONS, CRUSTACES, MOLLUSQUES",Importations,2010-01-01,120671489.0
SUCRES ET SUCRERIES,Importations,2010-01-01,1696395250.0
CACAO ET SES PREPARATIONS,Importations,2010-01-01,135463932.0
PREPARATIONS A BASE DE CEREALES ET DERIVES; PATISSERIES,Importations,2010-01-01,1567476745.0
"PREPARATIONS DE LEGUMES, DE FRUITS OU D'AUTRES PARTIES DE PLANTES",Importations,2010-01-01,1624995146.0
PREPARATIONS ALIMENTAIRES DIVERSES,Importations,2010-01-01,3117587133.0
"BOISSONS, LIQUIDES ALCOOLIQUES ET VINAIGRES",Importations,2010-01-01,917513705.0
"RESIDUS,DECHETS DES INDUSTRIES ALIMENTAIRES;ALIMENTS PREPARES POUR ANIMAUX",Importations,2010-01-01,852550271.0
TABACS ET SUCCEDANES DE TABACS FABRIQUES,Importations,2010-01-01,261077169.0
"SEL; SOUFRE; TERRES ET PIERRES; PLATRES, CHAUX ET CIMENTS",Importations,2010-01-01,2618981671.0
"MINERAIS, SCORIES ET CENDRES",Importations,2010-01-01,5311150.0
"COMBUSTIBLES MINERAUX; HUILES, CIRES MINERALES; MATIERES BITUMINEUSES",Importations,2010-01-01,37366977829.0
PRODUITS CHIMIQUES INORGANIQUES; COMPOSES DE METAUX OU RADIOACTIFS,Importations,2010-01-01,1028574403.0
PRODUITS CHIMIQUES ORGANIQUES,Importations,2010-01-01,1678215070.0
PRODUITS PHARMACEUTIQUES,Importations,2010-01-01,3939765053.0
ENGRAIS,Importations,2010-01-01,87189042.0
EXTRAITS TANNANTS OU TINCTORIAUX;TANINS;COLORANTS;VERNIS;MASTICS;ENCRES,Importations,2010-01-01,544668253.0
"HUILLES ESSENTIELLES, RESINOIDES; PRODUITS DE PARFURMERIE; COSMETIQUES",Importations,2010-01-01,1198571839.0
"SAVONS, LUBRIFIANTS, CIRES ARTIFICIELLES, BOUGIES, CIRES DENTAIRES",Importations,2010-01-01,495852744.0
MATIERES ALBUMINOIDES;PREPARATIONS A BASE D'AMIDONS OU FECULES;COLLES,Importations,2010-01-01,336645048.0
"POUDRES,EXPLOSIFS;ARTICLES DE PYROTECHNIE;ALLUMETTES;MATIERES INFLAMMABLES",Importations,2010-01-01,135729321.0
